Code,Borough,Measure,Year,Income
E12000006,East of England,Median,2001/02,23460
E12000007,London,Median,2001/02,27110
E12000008,South East,Median,2001/02,26790
E12000009,South West,Median,2001/02,20800
W92000004,Wales,Median,2001/02,16680
S92000003,Scotland,Median,2001/02,18940
N92000002,Northern Ireland,Median,2001/02,18370
K02000001,UK,Median,2001/02,20940
E09000001,City of London,Median,2002/03,43620
E09000002,Barking and Dagenham,Median,2002/03,20410
E09000003,Barnet,Median,2002/03,29780
E09000004,Bexley,Median,2002/03,25860
E09000005,Brent,Median,2002/03,24400
E09000006,Bromley,Median,2002/03,30040
E09000007,Camden,Median,2002/03,31710
E09000008,Croydon,Median,2002/03,26780
E09000009,Ealing,Median,2002/03,27350
E09000010,Enfield,Median,2002/03,25240
E09000011,Greenwich,Median,2002/03,23460
E09000012,Hackney,Median,2002/03,22550
E09000013,Hammersmith and Fulham,Median,2002/03,31030
E09000014,Haringey,Median,2002/03,25120
E09000015,Harrow,Median,2002/03,28880
E09000016,Havering,Median,2002/03,26030
E09000017,Hillingdon,Median,2002/03,27150
E09000018,Hounslow,Median,2002/03,26730
E09000019,Islington,Median,2002/03,28120
E09000020,Kensington and Chelsea,Median,2002/03,37780
E09000021,Kingston upon Thames,Median,2002/03,31770
E09000022,Lambeth,Median,2002/03,27230
E09000023,Lewisham,Median,2002/03,24820
E09000024,Merton,Median,2002/03,29770
E09000025,Newham,Median,2002/03,18390
E09000026,Redbridge,Median,2002/03,26870
E09000027,Richmond upon Thames,Median,2002/03,36800
E09000028,Southwark,Median,2002/03,25490
E09000029,Sutton,Median,2002/03,27930
E09000030,Tower Hamlets,Median,2002/03,23490
E09000031,Waltham Forest,Median,2002/03,23320
E09000032,Wandsworth,Median,2002/03,33340
E09000033,Westminster,Median,2002/03,33740
E13000001,Inner London,Median,2002/03,27650
E13000002,Outer London,Median,2002/03,27450
E12000001,North East,Median,2002/03,18210
E12000002,North West,Median,2002/03,20170
E12000003,Yorkshire and the Humber,Median,2002/03,18220
E12000004,East Midlands,Median,2002/03,20720
E12000005,West Midlands,Median,2002/03,20390
E12000006,East of England,Median,2002/03,24910
E12000007,London,Median,2002/03,27520
E12000008,South East,Median,2002/03,28230
E12000009,South West,Median,2002/03,21540
W92000004,Wales,Median,2002/03,18090
S92000003,Scotland,Median,2002/03,20260
N92000002,Northern Ireland,Median,2002/03,19110
K02000001,UK,Median,2002/03,21780
E09000001,City of London,Median,2003/04,45150
E09000002,Barking and Dagenham,Median,2003/04,21020
E09000003,Barnet,Median,2003/04,30520
E09000004,Bexley,Median,2003/04,26620
E09000005,Brent,Median,2003/04,24900
E09000006,Bromley,Median,2003/04,30980
E09000007,Camden,Median,2003/04,32580
E09000008,Croydon,Median,2003/04,27500
E09000009,Ealing,Median,2003/04,27940
E09000010,Enfield,Median,2003/04,25750
E09000011,Greenwich,Median,2003/04,24310
E09000012,Hackney,Median,2003/04,23460
E09000013,Hammersmith and Fulham,Median,2003/04,31960
E09000014,Haringey,Median,2003/04,25840
E09000015,Harrow,Median,2003/04,29540
E09000016,Havering,Median,2003/04,26740
E09000017,Hillingdon,Median,2003/04,27820
E09000018,Hounslow,Median,2003/04,27310
E09000019,Islington,Median,2003/04,28960
E09000020,Kensington and Chelsea,Median,2003/04,39150
E09000021,Kingston upon Thames,Median,2003/04,32630
E09000022,Lambeth,Median,2003/04,28040
E09000023,Lewisham,Median,2003/04,25610
E09000024,Merton,Median,2003/04,30650
E09000025,Newham,Median,2003/04,19120
E09000026,Redbridge,Median,2003/04,27540
E09000027,Richmond upon Thames,Median,2003/04,38050
E09000028,Southwark,Median,2003/04,26320
E09000029,Sutton,Median,2003/04,28780
E09000030,Tower Hamlets,Median,2003/04,24300
E09000031,Waltham Forest,Median,2003/04,23990
E09000032,Wandsworth,Median,2003/04,34370
E09000033,Westminster,Median,2003/04,34770
E13000001,Inner London,Median,2003/04,28560
E13000002,Outer London,Median,2003/04,28210
E12000001,North East,Median,2003/04,19310
E12000002,North West,Median,2003/04,20950
E12000003,Yorkshire and the Humber,Median,2003/04,19310
E12000004,East Midlands,Median,2003/04,21650
E12000005,West Midlands,Median,2003/04,21320
E12000006,East of England,Median,2003/04,26210
E12000007,London,Median,2003/04,28350
E12000008,South East,Median,2003/04,29790
E12000009,South West,Median,2003/04,22190
W92000004,Wales,Median,2003/04,19400
S92000003,Scotland,Median,2003/04,20370
N92000002,Northern Ireland,Median,2003/04,19890
K02000001,UK,Median,2003/04,22670
E09000001,City of London,Median,2004/05,48070
E09000002,Barking and Dagenham,Median,2004/05,22300
E09000003,Barnet,Median,2004/05,32200
E09000004,Bexley,Median,2004/05,28220
E09000005,Brent,Median,2004/05,26160
E09000006,Bromley,Median,2004/05,32880
E09000007,Camden,Median,2004/05,34450
E09000008,Croydon,Median,2004/05,29070
E09000009,Ealing,Median,2004/05,29380
E09000010,Enfield,Median,2004/05,27050
E09000011,Greenwich,Median,2004/05,25940
E09000012,Hackney,Median,2004/05,25130
E09000013,Hammersmith and Fulham,Median,2004/05,33890
E09000014,Haringey,Median,2004/05,27370
E09000015,Harrow,Median,2004/05,31130
E09000016,Havering,Median,2004/05,28300
E09000017,Hillingdon,Median,2004/05,29350
E09000018,Hounslow,Median,2004/05,28720
E09000019,Islington,Median,2004/05,30710
E09000020,Kensington and Chelsea,Median,2004/05,41720
E09000021,Kingston upon Thames,Median,2004/05,34500
E09000022,Lambeth,Median,2004/05,29720
E09000023,Lewisham,Median,2004/05,27210
E09000024,Merton,Median,2004/05,32480
E09000025,Newham,Median,2004/05,20470
E09000026,Redbridge,Median,2004/05,29070
E09000027,Richmond upon Thames,Median,2004/05,40470
E09000028,Southwark,Median,2004/05,27980
E09000029,Sutton,Median,2004/05,30520
E09000030,Tower Hamlets,Median,2004/05,25890
E09000031,Waltham Forest,Median,2004/05,25420
E09000032,Wandsworth,Median,2004/05,36450
E09000033,Westminster,Median,2004/05,36880
E13000001,Inner London,Median,2004/05,30370
E13000002,Outer London,Median,2004/05,29850
E12000001,North East,Median,2004/05,19100
E12000002,North West,Median,2004/05,22010
E12000003,Yorkshire and the Humber,Median,2004/05,20700
E12000004,East Midlands,Median,2004/05,22380
E12000005,West Midlands,Median,2004/05,21600
E12000006,East of England,Median,2004/05,26820
E12000007,London,Median,2004/05,30050
E12000008,South East,Median,2004/05,29570
E12000009,South West,Median,2004/05,22860
W92000004,Wales,Median,2004/05,20050
S92000003,Scotland,Median,2004/05,21860
N92000002,Northern Ireland,Median,2004/05,20580
K02000001,UK,Median,2004/05,23450
E09000001,City of London,Median,2005/06,48380
E09000002,Barking and Dagenham,Median,2005/06,22390
E09000003,Barnet,Median,2005/06,32150
E09000004,Bexley,Median,2005/06,28310
E09000005,Brent,Median,2005/06,26010
E09000006,Bromley,Median,2005/06,33010
E09000007,Camden,Median,2005/06,34460
E09000008,Croydon,Median,2005/06,29080
E09000009,Ealing,Median,2005/06,29240
E09000010,Enfield,Median,2005/06,26900
E09000011,Greenwich,Median,2005/06,26180
E09000012,Hackney,Median,2005/06,25450
E09000013,Hammersmith and Fulham,Median,2005/06,33980
E09000014,Haringey,Median,2005/06,27420
E09000015,Harrow,Median,2005/06,31030
E09000016,Havering,Median,2005/06,28340
E09000017,Hillingdon,Median,2005/06,29310
E09000018,Hounslow,Median,2005/06,28590
E09000019,Islington,Median,2005/06,30800
E09000020,Kensington and Chelsea,Median,2005/06,42040
E09000021,Kingston upon Thames,Median,2005/06,34510
E09000022,Lambeth,Median,2005/06,29800
E09000023,Lewisham,Median,2005/06,27340
E09000024,Merton,Median,2005/06,32560
E09000025,Newham,Median,2005/06,20740
E09000026,Redbridge,Median,2005/06,29040
E09000027,Richmond upon Thames,Median,2005/06,40710
E09000028,Southwark,Median,2005/06,28150
E09000029,Sutton,Median,2005/06,30630
E09000030,Tower Hamlets,Median,2005/06,26090
E09000031,Waltham Forest,Median,2005/06,25490
E09000032,Wandsworth,Median,2005/06,36580
E09000033,Westminster,Median,2005/06,36980
E13000001,Inner London,Median,2005/06,30550
E13000002,Outer London,Median,2005/06,29890
E12000001,North East,Median,2005/06,19510
E12000002,North West,Median,2005/06,23280
E12000003,Yorkshire and the Humber,Median,2005/06,20890
E12000004,East Midlands,Median,2005/06,24120
E12000005,West Midlands,Median,2005/06,21840
E12000006,East of England,Median,2005/06,27350
E12000007,London,Median,2005/06,30140
E12000008,South East,Median,2005/06,31240
E12000009,South West,Median,2005/06,23650
W92000004,Wales,Median,2005/06,21900
S92000003,Scotland,Median,2005/06,22530
N92000002,Northern Ireland,Median,2005/06,21350
K02000001,UK,Median,2005/06,24330
E09000001,City of London,Median,2006/07,51410
E09000002,Barking and Dagenham,Median,2006/07,23750
E09000003,Barnet,Median,2006/07,33900
E09000004,Bexley,Median,2006/07,30010
E09000005,Brent,Median,2006/07,27340
E09000006,Bromley,Median,2006/07,35000
E09000007,Camden,Median,2006/07,36400
E09000008,Croydon,Median,2006/07,30720
E09000009,Ealing,Median,2006/07,30740
E09000010,Enfield,Median,2006/07,28260
E09000011,Greenwich,Median,2006/07,27910
E09000012,Hackney,Median,2006/07,27230
E09000013,Hammersmith and Fulham,Median,2006/07,35980
E09000014,Haringey,Median,2006/07,29020
E09000015,Harrow,Median,2006/07,32690
E09000016,Havering,Median,2006/07,29990
E09000017,Hillingdon,Median,2006/07,30910
E09000018,Hounslow,Median,2006/07,30060
E09000019,Islington,Median,2006/07,32620
E09000020,Kensington and Chelsea,Median,2006/07,44710
E09000021,Kingston upon Thames,Median,2006/07,36460
E09000022,Lambeth,Median,2006/07,31560
E09000023,Lewisham,Median,2006/07,29020
E09000024,Merton,Median,2006/07,34460
E09000025,Newham,Median,2006/07,22190
E09000026,Redbridge,Median,2006/07,30640
E09000027,Richmond upon Thames,Median,2006/07,43240
E09000028,Southwark,Median,2006/07,29900
E09000029,Sutton,Median,2006/07,32470
E09000030,Tower Hamlets,Median,2006/07,27770
E09000031,Waltham Forest,Median,2006/07,27000
E09000032,Wandsworth,Median,2006/07,38760
E09000033,Westminster,Median,2006/07,39150
E13000001,Inner London,Median,2006/07,32450
E13000002,Outer London,Median,2006/07,31600
E12000001,North East,Median,2006/07,21210
E12000002,North West,Median,2006/07,23620
E12000003,Yorkshire and the Humber,Median,2006/07,22110
E12000004,East Midlands,Median,2006/07,25060
E12000005,West Midlands,Median,2006/07,23210
E12000006,East of England,Median,2006/07,27550
E12000007,London,Median,2006/07,31940
E12000008,South East,Median,2006/07,32720
E12000009,South West,Median,2006/07,25190
W92000004,Wales,Median,2006/07,22160
S92000003,Scotland,Median,2006/07,23620
N92000002,Northern Ireland,Median,2006/07,22410
K02000001,UK,Median,2006/07,25540
E09000001,City of London,Median,2007/08,53110
E09000002,Barking and Dagenham,Median,2007/08,24520
E09000003,Barnet,Median,2007/08,34790
E09000004,Bexley,Median,2007/08,30950
E09000005,Brent,Median,2007/08,27960
E09000006,Bromley,Median,2007/08,36110
E09000007,Camden,Median,2007/08,37410
E09000008,Croydon,Median,2007/08,31570
E09000009,Ealing,Median,2007/08,31450
E09000010,Enfield,Median,2007/08,28900
E09000011,Greenwich,Median,2007/08,28940
E09000012,Hackney,Median,2007/08,28330
E09000013,Hammersmith and Fulham,Median,2007/08,37060
E09000014,Haringey,Median,2007/08,29890
E09000015,Harrow,Median,2007/08,33500
E09000016,Havering,Median,2007/08,30880
E09000017,Hillingdon,Median,2007/08,31730
E09000018,Hounslow,Median,2007/08,30750
E09000019,Islington,Median,2007/08,33610
E09000020,Kensington and Chelsea,Median,2007/08,46250
E09000021,Kingston upon Thames,Median,2007/08,37470
E09000022,Lambeth,Median,2007/08,32510
E09000023,Lewisham,Median,2007/08,29970
E09000024,Merton,Median,2007/08,35490
E09000025,Newham,Median,2007/08,23100
E09000026,Redbridge,Median,2007/08,31470
E09000027,Richmond upon Thames,Median,2007/08,44660
E09000028,Southwark,Median,2007/08,30890
E09000029,Sutton,Median,2007/08,33480
E09000030,Tower Hamlets,Median,2007/08,28760
E09000031,Waltham Forest,Median,2007/08,27820
E09000032,Wandsworth,Median,2007/08,39960
E09000033,Westminster,Median,2007/08,40320
E13000001,Inner London,Median,2007/08,33530
E13000002,Outer London,Median,2007/08,32520
E12000001,North East,Median,2007/08,21620
E12000002,North West,Median,2007/08,24150
E12000003,Yorkshire and the Humber,Median,2007/08,22670
E12000004,East Midlands,Median,2007/08,25380
E12000005,West Midlands,Median,2007/08,24610
E12000006,East of England,Median,2007/08,28950
E12000007,London,Median,2007/08,32920
E12000008,South East,Median,2007/08,33380
E12000009,South West,Median,2007/08,25660
W92000004,Wales,Median,2007/08,22710
S92000003,Scotland,Median,2007/08,24840
N92000002,Northern Ireland,Median,2007/08,23010
K02000001,UK,Median,2007/08,26220
E09000001,City of London,Median,2008/09,54960
E09000002,Barking and Dagenham,Median,2008/09,25360
E09000003,Barnet,Median,2008/09,35770
E09000004,Bexley,Median,2008/09,31990
E09000005,Brent,Median,2008/09,28660
E09000006,Bromley,Median,2008/09,37310
E09000007,Camden,Median,2008/09,38510
E09000008,Croydon,Median,2008/09,32510
E09000009,Ealing,Median,2008/09,32230
E09000010,Enfield,Median,2008/09,29610
E09000011,Greenwich,Median,2008/09,30050
E09000012,Hackney,Median,2008/09,29520
E09000013,Hammersmith and Fulham,Median,2008/09,38230
E09000014,Haringey,Median,2008/09,30840
E09000015,Harrow,Median,2008/09,34410
E09000016,Havering,Median,2008/09,31870
E09000017,Hillingdon,Median,2008/09,32630
E09000018,Hounslow,Median,2008/09,31530
E09000019,Islington,Median,2008/09,34680
E09000020,Kensington and Chelsea,Median,2008/09,47900
E09000021,Kingston upon Thames,Median,2008/09,38590
E09000022,Lambeth,Median,2008/09,33550
E09000023,Lewisham,Median,2008/09,31000
E09000024,Merton,Median,2008/09,36610
E09000025,Newham,Median,2008/09,24090
E09000026,Redbridge,Median,2008/09,32390
E09000027,Richmond upon Thames,Median,2008/09,46200
E09000028,Southwark,Median,2008/09,31970
E09000029,Sutton,Median,2008/09,34600
E09000030,Tower Hamlets,Median,2008/09,29840
E09000031,Waltham Forest,Median,2008/09,28730
E09000032,Wandsworth,Median,2008/09,41260
E09000033,Westminster,Median,2008/09,41580
E13000001,Inner London,Median,2008/09,34710
E13000002,Outer London,Median,2008/09,33520
E12000001,North East,Median,2008/09,21810
E12000002,North West,Median,2008/09,24710
E12000003,Yorkshire and the Humber,Median,2008/09,23160
E12000004,East Midlands,Median,2008/09,24720
E12000005,West Midlands,Median,2008/09,26120
E12000006,East of England,Median,2008/09,29730
E12000007,London,Median,2008/09,33990
E12000008,South East,Median,2008/09,34290
E12000009,South West,Median,2008/09,26640
W92000004,Wales,Median,2008/09,24230
S92000003,Scotland,Median,2008/09,25040
N92000002,Northern Ireland,Median,2008/09,23660
K02000001,UK,Median,2008/09,26970
E09000001,City of London,Median,2009/10,57520
E09000002,Barking and Dagenham,Median,2009/10,26550
E09000003,Barnet,Median,2009/10,37220
E09000004,Bexley,Median,2009/10,33460
E09000005,Brent,Median,2009/10,29730
E09000006,Bromley,Median,2009/10,39020
E09000007,Camden,Median,2009/10,40110
E09000008,Croydon,Median,2009/10,33870
E09000009,Ealing,Median,2009/10,33430
E09000010,Enfield,Median,2009/10,30700
E09000011,Greenwich,Median,2009/10,31580
E09000012,Hackney,Median,2009/10,31120
E09000013,Hammersmith and Fulham,Median,2009/10,39910
E09000014,Haringey,Median,2009/10,32200
E09000015,Harrow,Median,2009/10,35780
E09000016,Havering,Median,2009/10,33290
E09000017,Hillingdon,Median,2009/10,33970
E09000018,Hounslow,Median,2009/10,32720
E09000019,Islington,Median,2009/10,36220
E09000020,Kensington and Chelsea,Median,2009/10,50180
E09000021,Kingston upon Thames,Median,2009/10,40210
E09000022,Lambeth,Median,2009/10,35030
E09000023,Lewisham,Median,2009/10,32440
E09000024,Merton,Median,2009/10,38220
E09000025,Newham,Median,2009/10,25410
E09000026,Redbridge,Median,2009/10,33740
E09000027,Richmond upon Thames,Median,2009/10,48360
E09000028,Southwark,Median,2009/10,33480
E09000029,Sutton,Median,2009/10,36180
E09000030,Tower Hamlets,Median,2009/10,31320
E09000031,Waltham Forest,Median,2009/10,30020
E09000032,Wandsworth,Median,2009/10,43110
E09000033,Westminster,Median,2009/10,43380
E13000001,Inner London,Median,2009/10,36350
E13000002,Outer London,Median,2009/10,34980
E12000001,North East,Median,2009/10,23410
E12000002,North West,Median,2009/10,25900
E12000003,Yorkshire and the Humber,Median,2009/10,24870
E12000004,East Midlands,Median,2009/10,26050
E12000005,West Midlands,Median,2009/10,26700
E12000006,East of England,Median,2009/10,29350
E12000007,London,Median,2009/10,35510
E12000008,South East,Median,2009/10,35430
E12000009,South West,Median,2009/10,27500
W92000004,Wales,Median,2009/10,23030
S92000003,Scotland,Median,2009/10,27210
N92000002,Northern Ireland,Median,2009/10,24610
K02000001,UK,Median,2009/10,28050
E09000001,City of London,Median,2010/11,59240
E09000002,Barking and Dagenham,Median,2010/11,27360
E09000003,Barnet,Median,2010/11,38120
E09000004,Bexley,Median,2010/11,34440
E09000005,Brent,Median,2010/11,30370
E09000006,Bromley,Median,2010/11,40150
E09000007,Camden,Median,2010/11,41120
E09000008,Croydon,Median,2010/11,34730
E09000009,Ealing,Median,2010/11,34140
E09000010,Enfield,Median,2010/11,31340
E09000011,Greenwich,Median,2010/11,32660
E09000012,Hackney,Median,2010/11,32270
E09000013,Hammersmith and Fulham,Median,2010/11,41000
E09000014,Haringey,Median,2010/11,33100
E09000015,Harrow,Median,2010/11,36620
E09000016,Havering,Median,2010/11,34230
E09000017,Hillingdon,Median,2010/11,34810
E09000018,Hounslow,Median,2010/11,33420
E09000019,Islington,Median,2010/11,37220
E09000020,Kensington and Chelsea,Median,2010/11,51720
E09000021,Kingston upon Thames,Median,2010/11,41240
E09000022,Lambeth,Median,2010/11,35990
E09000023,Lewisham,Median,2010/11,33420
E09000024,Merton,Median,2010/11,39260
E09000025,Newham,Median,2010/11,26380
E09000026,Redbridge,Median,2010/11,34590
E09000027,Richmond upon Thames,Median,2010/11,49800
E09000028,Southwark,Median,2010/11,34500
E09000029,Sutton,Median,2010/11,37230
E09000030,Tower Hamlets,Median,2010/11,32340
E09000031,Waltham Forest,Median,2010/11,30870
E09000032,Wandsworth,Median,2010/11,44330
E09000033,Westminster,Median,2010/11,44530
E13000001,Inner London,Median,2010/11,37460
E13000002,Outer London,Median,2010/11,35910
E12000001,North East,Median,2010/11,24530
E12000002,North West,Median,2010/11,26730
E12000003,Yorkshire and the Humber,Median,2010/11,25700
E12000004,East Midlands,Median,2010/11,26320
E12000005,West Midlands,Median,2010/11,27690
E12000006,East of England,Median,2010/11,30520
E12000007,London,Median,2010/11,36520
E12000008,South East,Median,2010/11,35950
E12000009,South West,Median,2010/11,28050
W92000004,Wales,Median,2010/11,23870
S92000003,Scotland,Median,2010/11,27630
N92000002,Northern Ireland,Median,2010/11,25320
K02000001,UK,Median,2010/11,28860
E09000001,City of London,Median,2011/12,62290
E09000002,Barking and Dagenham,Median,2011/12,28780
E09000003,Barnet,Median,2011/12,39880
E09000004,Bexley,Median,2011/12,36210
E09000005,Brent,Median,2011/12,31690
E09000006,Bromley,Median,2011/12,42180
E09000007,Camden,Median,2011/12,43030
E09000008,Croydon,Median,2011/12,36370
E09000009,Ealing,Median,2011/12,35600
E09000010,Enfield,Median,2011/12,32680
E09000011,Greenwich,Median,2011/12,34480
E09000012,Hackney,Median,2011/12,34170
E09000013,Hammersmith and Fulham,Median,2011/12,43010
E09000014,Haringey,Median,2011/12,34740
E09000015,Harrow,Median,2011/12,38280
E09000016,Havering,Median,2011/12,35940
E09000017,Hillingdon,Median,2011/12,36430
E09000018,Hounslow,Median,2011/12,34860
E09000019,Islington,Median,2011/12,39050
E09000020,Kensington and Chelsea,Median,2011/12,54430
E09000021,Kingston upon Thames,Median,2011/12,43190
E09000022,Lambeth,Median,2011/12,37760
E09000023,Lewisham,Median,2011/12,35140
E09000024,Merton,Median,2011/12,41180
E09000025,Newham,Median,2011/12,27960
E09000026,Redbridge,Median,2011/12,36230
E09000027,Richmond upon Thames,Median,2011/12,52360
E09000028,Southwark,Median,2011/12,36300
E09000029,Sutton,Median,2011/12,39130
E09000030,Tower Hamlets,Median,2011/12,34100
E09000031,Waltham Forest,Median,2011/12,32420
E09000032,Wandsworth,Median,2011/12,46550
E09000033,Westminster,Median,2011/12,46670
E13000001,Inner London,Median,2011/12,39420
E13000002,Outer London,Median,2011/12,37660
E12000001,North East,Median,2011/12,25070
E12000002,North West,Median,2011/12,27950
E12000003,Yorkshire and the Humber,Median,2011/12,27170
E12000004,East Midlands,Median,2011/12,27650
E12000005,West Midlands,Median,2011/12,29210
E12000006,East of England,Median,2011/12,31300
E12000007,London,Median,2011/12,38340
E12000008,South East,Median,2011/12,37440
E12000009,South West,Median,2011/12,29250
W92000004,Wales,Median,2011/12,25350
S92000003,Scotland,Median,2011/12,28960
N92000002,Northern Ireland,Median,2011/12,26390
K02000001,UK,Median,2011/12,30070
E09000001,City of London,Median,2012/13,63620
E09000002,Barking and Dagenham,Median,2012/13,29420
E09000003,Barnet,Median,2012/13,40530
E09000004,Bexley,Median,2012/13,36990
E09000005,Brent,Median,2012/13,32140
E09000006,Bromley,Median,2012/13,43060
E09000007,Camden,Median,2012/13,43750
E09000008,Croydon,Median,2012/13,37000
E09000009,Ealing,Median,2012/13,36070
E09000010,Enfield,Median,2012/13,33110
E09000011,Greenwich,Median,2012/13,35350
E09000012,Hackney,Median,2012/13,35140
E09000013,Hammersmith and Fulham,Median,2012/13,43820
E09000014,Haringey,Median,2012/13,35420
E09000015,Harrow,Median,2012/13,38880
E09000016,Havering,Median,2012/13,36670
E09000017,Hillingdon,Median,2012/13,37040
E09000018,Hounslow,Median,2012/13,35330
E09000019,Islington,Median,2012/13,39790
E09000020,Kensington and Chelsea,Median,2012/13,55620
E09000021,Kingston upon Thames,Median,2012/13,43940
E09000022,Lambeth,Median,2012/13,38490
E09000023,Lewisham,Median,2012/13,35900
E09000024,Merton,Median,2012/13,41960
E09000025,Newham,Median,2012/13,28780
E09000026,Redbridge,Median,2012/13,36860
E09000027,Richmond upon Thames,Median,2012/13,53470
E09000028,Southwark,Median,2012/13,37100
E09000029,Sutton,Median,2012/13,39940
E09000030,Tower Hamlets,Median,2012/13,34930
E09000031,Waltham Forest,Median,2012/13,33080
E09000032,Wandsworth,Median,2012/13,47480
E09000033,Westminster,Median,2012/13,47510
E13000001,Inner London,Median,2012/13,40290
E13000002,Outer London,Median,2012/13,38360
E12000001,North East,Median,2012/13,25010
E12000002,North West,Median,2012/13,28550
E12000003,Yorkshire and the Humber,Median,2012/13,27320
E12000004,East Midlands,Median,2012/13,28140
E12000005,West Midlands,Median,2012/13,29480
E12000006,East of England,Median,2012/13,31610
E12000007,London,Median,2012/13,39110
E12000008,South East,Median,2012/13,38120
E12000009,South West,Median,2012/13,29530
W92000004,Wales,Median,2012/13,26090
S92000003,Scotland,Median,2012/13,29470
N92000002,Northern Ireland,Median,2012/13,26860
K02000001,UK,Median,2012/13,30600
